csvCell1,csvCell2,csvCell3,csvCell4,csvCell5,csvCell6_1,csvCell6_2,csvCell6_3,csvCell6_4,csvCell6_5,csvCell6_6,csvCell6_7,csvCell6_8,csvCell6_9,csvCell6_10,csvCell6_11,csvCell6_12,csvCell6_13,csvCell6_14,csvCell6_15,csvCell6_16,csvCell6_17,csvCell6_18,csvCell6_19,csvCell6_20,csvCell6_21,csvCell6_22,csvCell6_23,csvCell6_24,csvCell6_25,csvCell6_26,csvCell6_27,csvCell6_28,csvCell6_29,csvCell6_30,csvCell6_31,csvCell6_32,csvCell6_33,csvCell6_34,csvCell6_35,csvCell6_36,csvCell6_37,csvCell6_38,csvCell6_39,csvCell6_40,csvCell6_41,csvCell6_42,csvCell6_43,csvCell6_44,csvCell6_45,csvCell6_46,csvCell6_47,csvCell6_48,csvCell6_49,csvCell6_50,csvCell6_51,csvCell6_52,csvCell6_53,csvCell6_54,csvCell6_55,csvCell6_56,csvCell6_57,csvCell6_58,csvCell6_59,csvCell6_60,csvCell6_61,csvCell6_62,csvCell6_63,csvCell6_64,csvCell6_65,csvCell6_66,csvCell6_67,csvCell6_68,csvCell6_69,csvCell6_70,csvCell6_71,csvCell6_72,csvCell6_73,csvCell6_74,csvCell6_75,csvCell6_76,csvCell6_77,csvCell6_78,csvCell6_79,csvCell6_80,csvCell6_81,csvCell6_82,csvCell6_83,csvCell6_84,csvCell6_85,csvCell6_86,csvCell6_87,csvCell6_88,csvCell6_89,csvCell6_90,csvCell6_91,csvCell6_92,csvCell6_93,csvCell6_94,csvCell6_95,csvCell6_96,csvCell6_97,csvCell6_98,csvCell6_99,csvCell6_100,csvCell6_101,csvCell6_102,csvCell6_103,csvCell6_104,csvCell6_105,csvCell6_106,csvCell6_107,csvCell6_108,csvCell6_109,csvCell6_110,csvCell6_111,csvCell6_112,csvCell6_113,csvCell6_114,csvCell6_115,csvCell6_116,csvCell6_117,csvCell6_118,csvCell6_119,csvCell6_120,csvCell6_121,csvCell6_122,csvCell6_123,csvCell6_124,csvCell6_125,csvCell6_126,csvCell6_127,csvCell6_128,csvCell6_129,csvCell6_130,csvCell6_131,csvCell6_132,csvCell6_133,csvCell6_134,csvCell6_135,csvCell6_136,csvCell6_137,csvCell6_138,csvCell6_139,csvCell6_140,csvCell6_141,csvCell6_142,csvCell6_143,csvCell6_144,csvCell6_145,csvCell6_146,csvCell6_147,csvCell6_148,csvCell6_149,csvCell6_150
Question Number,Asked Pair One,Asked Pair Two,Score,Total Time,MouseX and MouseY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial:1_1,a,b,3,-1.2344,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,959  541,954  542,951  544,947  545,945  545,945  545,944  545,944  545,942  546,934  547,926  548,913  549,887  549,869  550,858  550,853  550,849  550,847  550,846  551,846  551,846  551,846  552,844  555,841  559,835  563,831  565,827  567,824  569,821  570,818  571,815  571,812  572,810  573,808  573,805  573,802  573,802  573,802  573,802  573,802  573,802  573,802  573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial:1_2,b,d,3,-1.1007,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,962  540,963  540,964  540,966  542,967  543,968  545,968  550,968  552,965  554,961  555,955  556,951  556,947  556,935  556,911  557,880  558,847  558,820  558,789  558,784  558,783  558,783  558,783  558,783  558,783  558,783  558,783  558,783  558,783  558,783  558,783  558,784  560,789  562,795  564,799  564,802  565,802  565,803  565,803  565,803  565,803  565,803  565,803  565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial:1_3,a,c,3,-1.4836,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,957  531,955  527,951  516,950  512,949  511,949  511,949  511,949  511,949  511,948  510,932  507,913  507,888  507,860  507,836  508,821  510,814  511,808  515,805  519,802  523,802  524,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  525,802  526,802  534,802  544,802  553,802  562,802  572,802  577,802  579,802  580,802  580,802  580,802  580,802  580,802  580,802  580,802  580,802  580,802  580,802  580,802  580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial:1_4,a,d,3,-1.4154,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,947  539,931  538,908  535,885  532,866  529,854  527,847  526,845  525,845  525,845  525,845  525,843  525,833  525,828  526,822  526,818  528,811  531,802  537,793  541,784  546,777  548,774  550,774  550,773  551,773  554,773  555,773  557,773  559,775  561,776  563,777  565,779  566,780  567,781  567,782  568,782  568,784  569,785  570,785  570,785  570,785  570,785  570,785  570,786  570,787  570,788  570,788  571,788  571,788  571,788  571,788  571,788  571,788  571,788  571,788  571,788  571,788  571,788  571,788  571,788  571,788  571,788  571,788  571,788  571,788  571,788  571,787  572,786  572,785  572,785  572,785  572,785  572,785  572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial:1_5,b,c,7,-1.2843, 956   540, 948   541, 931   542, 909   542, 900   542, 898   542, 897   542, 897   542, 897   542, 897   542, 897   542, 897   542, 896   542, 894   543, 892   544, 891   544, 891   544, 899   545, 924   547, 970   550,1025   552,1072   553,1094   555,1111   556,1130   557,1151   557,1169   558,1184   561,1188   562,1190   562,1192   562,1192   562,1192   562,1192   562,1193   562,1204   562,1225   564,1247   567,1265   567,1271   567,1271   567,1271   567,1271   567,1271   567,1271   567,1285   567,1302   568,1309   568,1309   568,1309   568,1309   568,1309   568,1309   568,1309   568,1312   568,1314   567,1316   567,1320   566,1334   565,1372   565,1405   565,1426   565,1433   565,1433   565,1433   565,1433   565,1433   565,1433   565,1433   565,1433   565,1433   565,1433   565,1433   565,1433   565,1433   565,1433   565,1433   565,1433   565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial:1_6,c,b,7,-0.78396, 960   540, 960   540, 960   540, 960   540, 969   543, 981   545, 996   547,1010   548,1018   549,1027   549,1030   549,1034   550,1039   551,1044   553,1049   554,1054   554,1065   555,1081   555,1101   555,1127   555,1163   556,1215   558,1271   563,1303   565,1325   566,1337   568,1350   570,1358   570,1368   571,1376   572,1385   572,1399   574,1415   576,1431   579,1440   579,1440   579,1441   579,1441   579,1441   579,1441   579,1441   579,1441   579,1441   579,1441   579,1441   579,1441   579,1441   579,1441   579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial:1_7,c,a,5,-0.96712, 960   540, 960   540, 960   540, 960   540, 960   540, 960   540, 960   540, 960   540, 960   540, 960   540, 960   540, 960   540, 960   540, 960   540, 960   540, 960   540, 959   540, 952   540, 942   538, 938   537, 937   537, 937   536, 939   532, 942   529, 945   527, 946   527, 949   525, 954   525, 959   525, 965   527, 980   532, 986   535, 991   538, 995   541, 998   544,1004   547,1013   551,1027   554,1043   556,1064   557,1086   558,1096   559,1097   559,1097   559,1097   559,1097   559,1097   559,1097   559,1097   559,1101   559,1114   564,1121   567,1122   567,1122   567,1122   567,1122   567,1122   567,1122   567,1122   567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial:1_8,b,a,2,-1.1503,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,959  540,951  540,940  541,926  541,916  542,906  544,892  545,879  547,865  548,854  549,841  550,839  551,839  551,839  551,839  551,839  551,839  552,839  552,839  552,839  553,837  554,836  554,831  556,826  557,816  559,797  562,773  564,745  567,716  574,697  575,685  575,680  575,679  576,678  576,678  576,678  576,678  576,678  576,678  576,678  576,678  576,678  576,678  576,678  576,675  576,672  575,663  574,659  574,658  574,658  574,657  574,656  574,655  574,654  574,653  574,653  574,653  574,653  574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial:1_9,d,a,3,-1.2171,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,960  540,958  543,954  546,936  555,911  564,866  579,821  591,786  605,764  613,749  620,739  625,736  628,735  628,735  628,735  628,735  628,735  624,738  617,741  609,746  602,752  596,759  590,765  586,768  585,768  585,768  585,768  585,768  585,768  585,773  582,781  578,786  576,788  575,788  575,788  575,789  574,789  574,789  574,789  574,789  574,789  574,789  574,789  574,789  573,789  573,789  573,789  573,789  573,789  573,789  573,789  573,789  573,789  573,789  573,789  573,789  573,789  573,789  573,789  573,789  573,789  573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
