layer,head,n_qid,mean_delta_p,std_delta_p,mean_abs_delta_p,mean_p_base,std_p_base,mean_p_patch,std_p_patch,mean_p_base_target,mean_p_patch_target,mean_delta_p_target,mean_delta_logit,std_delta_logit,mean_abs_delta_logit,mean_logit_base,mean_logit_patch,mean_delta_logprob,std_delta_logprob,mean_abs_delta_logprob,mean_logprob_base,mean_logprob_patch,any_nonzero,mean_act_norm,clean_mean_norm
13,27,6,0.05657396157582601,0.06941130355128497,0.056778400739034014,0.09370086630185444,0.13360669910712134,0.15027482787768048,0.16843213835301207,0.09370086630185444,0.15027482787768048,0.05657396157582601,1.3585807291666667,0.8909301385427438,1.3585807291666667,12.542395833333332,13.900976562500004,0.9580997721354166,0.7977050577003216,0.98014404296875,-4.220249023437499,-3.2621492513020836,1.0,2.7368894815444946,2.7368894815444946
15,17,6,0.02048300623893738,0.02648734447917707,0.020529255469640097,0.09376541256904602,0.13388658567424147,0.1142484188079834,0.1540905818624367,0.09376541256904602,0.1142484188079834,0.02048300623893738,0.42589843749999995,0.23604332972082853,0.4278776041666666,12.543613281249998,12.969511718749999,0.25877685546874996,0.18537005570552448,0.27336018880208335,-4.219617513020833,-3.960840657552083,1.0,1.7704110145568848,1.7704110145568848
16,29,6,0.013424594004948935,0.0190999295504156,0.014036693970362344,0.09356929063796998,0.13363411386643934,0.10699388464291891,0.14549880575725715,0.09356929063796998,0.10699388464291891,0.013424594004948935,0.3452278645833333,0.15505391862453344,0.3472591145833333,12.543385416666666,12.88861328125,0.18433146158854163,0.13733402837580364,0.19722859700520834,-4.220395914713542,-4.036064453124999,1.0,1.6462859312693279,1.6462859312693279
15,16,6,0.008808414538701376,0.012489622336553848,0.008909063736597696,0.09376541256904602,0.13388658567424147,0.10257382710774739,0.14079495361685126,0.09376541256904602,0.10257382710774739,0.008808414538701376,0.1668684895833333,0.12984725813047018,0.17477213541666667,12.543613281249998,12.710481770833333,0.13152058919270834,0.11821197010315816,0.13800496419270836,-4.219617513020833,-4.088096923828124,1.0,1.820515016714732,1.820515016714732
10,5,6,0.008417929410934449,0.013594686194168317,0.008750594854354858,0.09371657292048136,0.1338518940261008,0.10213450233141579,0.14004014115333288,0.09371657292048136,0.10213450233141579,0.008417929410934449,0.21840494791666668,0.17565508393170273,0.22439453125,12.542539062500003,12.760944010416665,0.16710896809895834,0.15719863786922653,0.17179646809895832,-4.220623372395834,-4.053514404296875,1.0,2.5086884101231894,2.5086884101231894
13,31,6,0.00764596422513326,0.010857216796478894,0.007671716610590618,0.09370086630185444,0.13360669910712134,0.10134683052698772,0.14046481367081443,0.09370086630185444,0.10134683052698772,0.00764596422513326,0.15429687499999997,0.11345066073457055,0.15846354166666668,12.542395833333332,12.696692708333332,0.11384114583333334,0.10205308066189957,0.11772135416666664,-4.220249023437499,-4.106407877604167,1.0,1.51257719596227,1.51257719596227
11,30,6,0.00659595568974813,0.00969641917523255,0.006639804840087891,0.0936950703461965,0.13367355933690991,0.10029102603594463,0.13897750394585182,0.0936950703461965,0.10029102603594463,0.00659595568974813,0.11516927083333332,0.10523417839365452,0.12462239583333333,12.545820312499998,12.660989583333334,0.09223347981770831,0.09163677668608379,0.09701212565104167,-4.2185103352864575,-4.12627685546875,1.0,1.5825776656468709,1.5825776656468709
15,1,6,0.006410898764928182,0.008569611116078964,0.006574093898137409,0.09376541256904602,0.13388658567424147,0.1001763113339742,0.13886914922369595,0.09376541256904602,0.1001763113339742,0.006410898764928182,0.160234375,0.0944339027174697,0.163046875,12.543613281249998,12.70384765625,0.11592447916666665,0.08710871130606639,0.1190625,-4.219617513020833,-4.103693033854166,1.0,1.791856586933136,1.791856586933136
31,14,6,0.006130848328272502,0.010906409733375096,0.006579362154006958,0.0937523667017619,0.13371740368334514,0.09988321503003439,0.13977565250709287,0.0937523667017619,0.09988321503003439,0.006130848328272502,0.23048828125,0.13398446982003429,0.23642578125,12.544505208333334,12.774993489583336,0.062103678385416666,0.09374899484958565,0.09131591796875001,-4.2194307454427085,-4.157327067057292,1.0,12.269195556640625,12.269195556640625
11,29,6,0.006113518873850505,0.011495908345795046,0.006512790520985921,0.0936950703461965,0.13367355933690991,0.099808589220047,0.13964429175458495,0.0936950703461965,0.099808589220047,0.006113518873850505,0.09859375,0.1352868838272657,0.13479166666666667,12.545820312499998,12.644414062500003,0.0878466796875,0.11969532632567449,0.10420735677083333,-4.2185103352864575,-4.130663655598958,1.0,0.9621885319550832,0.9621885319550832
13,23,6,0.005792494217554727,0.008275509186145431,0.005828023354212443,0.09370086630185444,0.13360669910712134,0.0994933605194092,0.13814050409441733,0.09370086630185444,0.0994933605194092,0.005792494217554727,0.12434895833333331,0.09812896860754972,0.12705729166666666,12.542395833333332,12.666744791666666,0.08873209635416668,0.08479672523059999,0.09233886718749999,-4.220249023437499,-4.131516927083333,1.0,1.1257004340489705,1.1257004340489705
10,7,6,0.0047737995783487955,0.008236443153419102,0.0050142208735148115,0.09371657292048136,0.1338518940261008,0.09849037249883018,0.1381703122211297,0.09371657292048136,0.09849037249883018,0.0047737995783487955,0.07916015624999999,0.08851603911105306,0.09083984375,12.542539062500003,12.62169921875,0.07251505533854168,0.07679212646209103,0.07743693033854167,-4.220623372395834,-4.148108317057292,1.0,2.0176165302594504,2.0176165302594504
14,29,6,0.004757643540700278,0.006631697462580517,0.004961907863616943,0.09376099467277525,0.1337573978330522,0.09851863821347556,0.13738145025403434,0.09376099467277525,0.09851863821347556,0.004757643540700278,0.11541666666666667,0.09495307852589834,0.11697916666666668,12.543886718750002,12.659303385416665,0.09381917317708333,0.08201050300330424,0.09617919921875,-4.218959554036458,-4.125140380859375,1.0,2.1538843313852944,2.1538843313852944
15,19,6,0.004588005145390828,0.0067528141647371235,0.004655240774154663,0.09376541256904602,0.13388658567424147,0.09835341771443684,0.13894704749168188,0.09376541256904602,0.09835341771443684,0.004588005145390828,0.09803385416666667,0.07088274869061188,0.10399739583333333,12.543613281249998,12.641647135416667,0.04493530273437501,0.055143614697543884,0.058776448567708334,-4.219617513020833,-4.174682210286458,1.0,0.5489616791407267,0.5489616791407267
14,11,6,0.00451184868812561,0.007088471996925895,0.004705077409744263,0.09376099467277525,0.1337573978330522,0.09827284336090086,0.13731876134747353,0.09376099467277525,0.09827284336090086,0.00451184868812561,0.13126953125,0.0988133489560488,0.1350716145833333,12.543886718750002,12.675156249999999,0.08365885416666667,0.0847268482787844,0.08910156250000001,-4.218959554036458,-4.135300699869792,1.0,1.2643209099769592,1.2643209099769592
13,6,6,0.004248074690500895,0.0063151151828969715,0.00437552531560262,0.09370086630185444,0.13360669910712134,0.09794894099235535,0.13654159863840962,0.09370086630185444,0.09794894099235535,0.004248074690500895,0.13110677083333333,0.11310218515946756,0.13631510416666667,12.542395833333332,12.673502604166666,0.11840413411458334,0.10524303494235522,0.12153401692708332,-4.220249023437499,-4.1018448893229165,1.0,1.4698205689589183,1.4698205689589183
15,28,6,0.0030434147516886396,0.004589190692585837,0.0031363312403361004,0.09376541256904602,0.13388658567424147,0.09680882732073465,0.13626783766444964,0.09376541256904602,0.09680882732073465,0.0030434147516886396,0.08970703125,0.04606370804205514,0.09103515625000001,12.543613281249998,12.633320312499999,0.04111979166666666,0.035764384294755903,0.044772135416666664,-4.219617513020833,-4.178497721354167,1.0,1.4737290839354198,1.4737290839354198
13,22,6,0.003009860515594482,0.004858960413508413,0.0035499326388041177,0.09370086630185444,0.13360669910712134,0.09671072681744892,0.13509936378469226,0.09370086630185444,0.09671072681744892,0.003009860515594482,0.08350911458333334,0.07194613050734223,0.08809244791666666,12.542395833333332,12.625904947916666,0.07693196614583334,0.06341371566010308,0.07994303385416666,-4.220249023437499,-4.143317057291667,1.0,1.3941530585289001,1.3941530585289001
13,24,6,0.0027959954738616937,0.005414858196251497,0.0031937841574350995,0.09370086630185444,0.13360669910712134,0.09649686177571616,0.13575070483284601,0.09370086630185444,0.09649686177571616,0.0027959954738616937,0.07534505208333334,0.0726557047844258,0.08163411458333333,12.542395833333332,12.617740885416667,0.050590006510416674,0.062371839692363124,0.06137776692708333,-4.220249023437499,-4.169659016927084,1.0,1.2110775311787922,1.2110775311787922
15,5,6,0.002769017219543457,0.003955373793677897,0.0030502287546793614,0.09376541256904602,0.13388658567424147,0.09653442978858946,0.13564084324138984,0.09376541256904602,0.09653442978858946,0.002769017219543457,0.07861328124999999,0.05834448692341029,0.08434244791666666,12.543613281249998,12.622226562499998,0.04781046549479167,0.04710434303462429,0.054702555338541674,-4.219617513020833,-4.171807047526042,1.0,1.8379812637964885,1.8379812637964885
15,2,6,0.0027557396888732914,0.004142354173303855,0.0028415258725484212,0.09376541256904602,0.13388658567424147,0.09652115225791931,0.13684691944924135,0.09376541256904602,0.09652115225791931,0.0027557396888732914,0.10623697916666668,0.06445419308449533,0.10811197916666666,12.543613281249998,12.649850260416665,0.04749715169270833,0.044196847290187774,0.050452880859375,-4.219617513020833,-4.172120361328125,1.0,1.0277568300565083,1.0277568300565083
31,31,6,0.0026601401964823405,0.004698836309880346,0.002784552574157715,0.0937523667017619,0.13371740368334514,0.09641250689824422,0.13728932185915088,0.0937523667017619,0.09641250689824422,0.0026601401964823405,0.06783203125,0.04295638203971728,0.07050130208333334,12.544505208333334,12.612337239583333,0.012762044270833333,0.023685963085471468,0.021655273437499997,-4.2194307454427085,-4.206668701171876,1.0,0.7148392697175344,0.7148392697175344
17,5,6,0.002561843395233154,0.0035844406897695344,0.0027361575762430827,0.09382361531257628,0.1338001204537044,0.09638545870780944,0.13572275936587289,0.09382361531257628,0.09638545870780944,0.002561843395233154,0.10930338541666666,0.0638071399926038,0.11143880208333334,12.544205729166668,12.653509114583334,0.057959798177083334,0.052377514142132896,0.06363688151041667,-4.2188102213541665,-4.1608504231770835,1.0,1.2700372338294983,1.2700372338294983
14,12,6,0.002560314337412516,0.0051173266379617634,0.003371420701344808,0.09376099467277525,0.1337573978330522,0.0963213090101878,0.13580650509383455,0.09376099467277525,0.0963213090101878,0.002560314337412516,0.08214192708333333,0.07071050353181611,0.08880859375,12.543886718750002,12.626028645833332,0.057855224609375,0.05649068748980141,0.06444376627604166,-4.218959554036458,-4.161104329427084,1.0,2.0209327737490335,2.0209327737490335
13,16,6,0.0024947786331176755,0.0082011454415542,0.004423400561014811,0.09370086630185444,0.13360669910712134,0.09619564493497212,0.13609664331838928,0.09370086630185444,0.09619564493497212,0.0024947786331176755,0.032174479166666665,0.100974531015793,0.08230468749999999,12.542395833333332,12.574570312499999,0.036520589192708335,0.081078917098125,0.06785441080729167,-4.220249023437499,-4.183728434244792,1.0,1.7154163718223572,1.7154163718223572
14,6,6,0.002363895575205485,0.006062760557744291,0.003953141371409099,0.09376099467277525,0.1337573978330522,0.09612489024798077,0.13505638510717227,0.09376099467277525,0.09612489024798077,0.002363895575205485,0.0805078125,0.10288754585080838,0.09920572916666666,12.543886718750002,12.62439453125,0.08225016276041666,0.09756491516241778,0.09344807942708333,-4.218959554036458,-4.1367093912760415,1.0,0.6399670392274857,0.6399670392274857
11,0,6,0.0023035097122192385,0.003868636789306193,0.0025118565559387207,0.0936950703461965,0.13367355933690991,0.09599858005841573,0.13563365840709204,0.0936950703461965,0.09599858005841573,0.0023035097122192385,0.03868489583333333,0.03856969519074019,0.04415364583333333,12.545820312499998,12.584505208333335,0.031072998046875005,0.034197687573757074,0.03572794596354167,-4.2185103352864575,-4.187437337239583,1.0,1.195243736108144,1.195243736108144
16,28,6,0.002266416549682617,0.004507107286536972,0.002607542673746745,0.09356929063796998,0.13363411386643934,0.0958357071876526,0.13567733328478926,0.09356929063796998,0.0958357071876526,0.002266416549682617,0.04438802083333334,0.05391439301363263,0.0590234375,12.543385416666666,12.5877734375,0.028750406901041664,0.04790253638051084,0.042149658203124996,-4.220395914713542,-4.1916455078125,1.0,1.1903329888979595,1.1903329888979595
21,10,6,0.002194884220759074,0.004472039401307363,0.002937085231145223,0.09375702102979024,0.13375712358323436,0.09595190525054931,0.13510421183520496,0.09375702102979024,0.09595190525054931,0.002194884220759074,0.09037109375,0.0627057054413227,0.09567057291666665,12.544368489583334,12.634739583333333,0.03988728841145833,0.05275968081795682,0.05543416341145834,-4.219643147786458,-4.179755859375,1.0,1.676081359386444,1.676081359386444
9,27,6,0.002164896329243978,0.004165999165439691,0.002532758712768555,0.09377296805381775,0.13384150485420296,0.09593786438306173,0.1362551631191487,0.09377296805381775,0.09593786438306173,0.002164896329243978,0.05293619791666667,0.059965084726404154,0.06224609375,12.541210937499997,12.594147135416668,0.041055908203125005,0.049493492213678686,0.049421793619791675,-4.221817220052084,-4.180761311848959,1.0,1.8253610928853352,1.8253610928853352
10,12,6,0.0021574600537618,0.004077310003223548,0.0024109053611755366,0.09371657292048136,0.1338518940261008,0.09587403297424318,0.13559989974341322,0.09371657292048136,0.09587403297424318,0.0021574600537618,0.06110026041666666,0.05467528832914987,0.06693359375,12.542539062500003,12.603639322916669,0.044189453125,0.046989236309108694,0.049645182291666666,-4.220623372395834,-4.176433919270833,1.0,1.1171573599179585,1.1171573599179585
14,21,6,0.0021321539084116618,0.004058932613283503,0.002723622719446818,0.09376099467277525,0.1337573978330522,0.09589314858118693,0.1359632742864693,0.09376099467277525,0.09589314858118693,0.0021321539084116618,0.009830729166666668,0.07336168230889041,0.06342447916666666,12.543886718750002,12.553717447916666,0.0019112141927083333,0.06539056756508614,0.05157267252604167,-4.218959554036458,-4.21704833984375,1.0,1.1442174315452576,1.1442174315452576
12,23,6,0.0020425196488698324,0.004099511175083606,0.002414001226425171,0.09377120455106099,0.13379918001250932,0.09581372419993084,0.13559845820010688,0.09377120455106099,0.09581372419993084,0.0020425196488698324,0.03736328125,0.050062306304866244,0.04720703125,12.543587239583333,12.580950520833333,0.032613118489583336,0.04502889319558531,0.041027832031249996,-4.21916259765625,-4.186549479166667,1.0,1.0218545297781627,1.0218545297781627
9,25,6,0.0020390911897023517,0.004363040845135086,0.002604437271753947,0.09377296805381775,0.13384150485420296,0.0958120592435201,0.1361884224671423,0.09377296805381775,0.0958120592435201,0.0020390911897023517,0.026516927083333336,0.056736963156034555,0.050631510416666664,12.541210937499997,12.567727864583333,0.025425211588541663,0.04964513563058787,0.044686279296875,-4.221817220052084,-4.196392008463541,1.0,2.168768346309662,2.168768346309662
15,7,6,0.001924221515655517,0.0040758587818054155,0.002687678337097168,0.09376541256904602,0.13388658567424147,0.09568963408470155,0.13508247665504916,0.09376541256904602,0.09568963408470155,0.001924221515655517,0.07252604166666667,0.06675101817383419,0.081328125,12.543613281249998,12.616139322916668,0.04325968424479167,0.06290593152169906,0.06087443033854167,-4.219617513020833,-4.176357828776042,1.0,1.539905587832133,1.539905587832133
15,8,6,0.0018675649166107183,0.005785335897429639,0.003007817665735881,0.09376541256904602,0.13388658567424147,0.09563297748565674,0.13569105348186336,0.09376541256904602,0.09563297748565674,0.0018675649166107183,0.026647135416666665,0.06416386904326958,0.05556640625,12.543613281249998,12.570260416666665,0.026510416666666665,0.05228910416806018,0.04664713541666666,-4.219617513020833,-4.193107096354167,1.0,1.1115095814069111,1.1115095814069111
22,9,6,0.00182931383450826,0.006021978159121043,0.003631078004837036,0.09386232495307921,0.1339158024030068,0.09569163878758748,0.13516760482070342,0.09386232495307921,0.09569163878758748,0.00182931383450826,0.028632812500000004,0.08851106260081164,0.07826822916666666,12.544381510416665,12.573014322916668,0.0017618815104166682,0.0716551157788417,0.06041585286458332,-4.218755696614584,-4.216993815104167,1.0,1.5966870784759521,1.5966870784759521
12,8,6,0.0017813694477081298,0.003970554978775968,0.002377070983250936,0.09377120455106099,0.13379918001250932,0.09555257399876914,0.1350216838180522,0.09377120455106099,0.09555257399876914,0.0017813694477081298,0.012031249999999999,0.047768706906875534,0.04145833333333333,12.543587239583333,12.555618489583333,0.012765299479166665,0.042913760375509924,0.0343017578125,-4.21916259765625,-4.206397298177084,1.0,0.5932008822758993,0.5932008822758993
13,29,6,0.0017629532019297284,0.004082163747023296,0.00260445237159729,0.09370086630185444,0.13360669910712134,0.09546381950378419,0.1350132625893948,0.09370086630185444,0.09546381950378419,0.0017629532019297284,0.043385416666666655,0.050649530344957144,0.056666666666666664,12.542395833333332,12.585781250000002,0.02693766276041667,0.051205508361507356,0.04475179036458333,-4.220249023437499,-4.193311360677083,1.0,1.1049035390218098,1.1049035390218098
21,2,6,0.0017626829942067462,0.003398895032689924,0.0022022895018259684,0.09375702102979024,0.13375712358323436,0.095519704023997,0.1357125267882427,0.09375702102979024,0.095519704023997,0.0017626829942067462,0.08067057291666667,0.056657827555848146,0.08848307291666667,12.544368489583334,12.6250390625,0.024083658854166672,0.04190670011202086,0.04037272135416667,-4.219643147786458,-4.195559488932292,1.0,1.436078945795695,1.436078945795695
30,15,6,0.0016983528931935627,0.00316357040125021,0.002160888115564982,0.09377657850583394,0.13385794790052982,0.0954749313990275,0.13485860083116488,0.09377657850583394,0.0954749313990275,0.0016983528931935627,0.017916666666666668,0.04484020227826673,0.03567708333333334,12.543196614583332,12.56111328125,0.024975992838541666,0.04091306350443264,0.03597208658854167,-4.219942626953125,-4.194966634114583,1.0,0.7822138071060181,0.7822138071060181
14,5,6,0.0015974454085032144,0.002855798423121963,0.0019384570916493732,0.09376099467277525,0.1337573978330522,0.09535844008127849,0.13525579145101088,0.09376099467277525,0.09535844008127849,0.0015974454085032144,0.04811848958333334,0.0496811170873216,0.05541015625,12.543886718750002,12.592005208333333,0.0399462890625,0.04322550784224633,0.0457568359375,-4.218959554036458,-4.179013264973958,1.0,1.0822857022285461,1.0822857022285461
14,10,6,0.0015949082374572753,0.0034819060069721714,0.001976308822631836,0.09376099467277525,0.1337573978330522,0.09535590291023256,0.13587138637654353,0.09376099467277525,0.09535590291023256,0.0015949082374572753,0.04720703125,0.0480643781791805,0.05293619791666668,12.543886718750002,12.591093749999999,0.021229654947916666,0.046502076303418995,0.03907470703125,-4.218959554036458,-4.197729899088541,1.0,1.169273575146993,1.169273575146993
13,8,6,0.001486494541168213,0.0033188791650937215,0.0017578800519307454,0.09370086630185444,0.13360669910712134,0.09518736084302266,0.13468349146793354,0.09370086630185444,0.09518736084302266,0.001486494541168213,0.023665364583333334,0.04708875566073917,0.04017578125000001,12.542395833333332,12.566061197916667,0.017490234375000004,0.039399986942148045,0.032490234375,-4.220249023437499,-4.2027587890625,1.0,1.7602711121241252,1.7602711121241252
15,21,6,0.001479647159576416,0.0031412878742264837,0.0022008363405863446,0.09376541256904602,0.13388658567424147,0.09524505972862245,0.13424938131429712,0.09376541256904602,0.09524505972862245,0.001479647159576416,0.04115885416666667,0.05470724176309839,0.05858072916666666,12.543613281249998,12.584772135416666,0.02998982747395833,0.04838958863785897,0.04762003580729166,-4.219617513020833,-4.189627685546875,1.0,1.6512630780537922,1.6512630780537922
30,16,6,0.001436979373296102,0.003391724138011695,0.0018008887767791747,0.09377657850583394,0.13385794790052982,0.09521355787913005,0.1349751416034082,0.09377657850583394,0.09521355787913005,0.001436979373296102,0.06341145833333334,0.050191503674947714,0.065859375,12.543196614583332,12.606608072916666,0.018902180989583333,0.036833220983794136,0.031467285156250004,-4.219942626953125,-4.2010404459635415,1.0,1.6135921875635784,1.6135921875635784
14,19,6,0.0014291052023569742,0.002972024968004276,0.0017625868320465087,0.09376099467277525,0.1337573978330522,0.09519009987513223,0.1347960139209197,0.09376099467277525,0.09519009987513223,0.0014291052023569742,0.04569010416666667,0.03718360266147778,0.049231770833333334,12.543886718750002,12.589576822916664,0.022486572265625,0.028484881233207207,0.02845011393229167,-4.218959554036458,-4.1964729817708335,1.0,1.9292066097259521,1.9292066097259521
16,25,6,0.0013846123218536378,0.004006468578305138,0.002282217741012573,0.09356929063796998,0.13363411386643934,0.09495390295982363,0.1347037945072387,0.09356929063796998,0.09495390295982363,0.0013846123218536378,0.00806640625,0.06875029159625146,0.055371093749999996,12.543385416666666,12.551451822916668,0.01058349609375,0.05846973970421324,0.04611409505208333,-4.220395914713542,-4.209812418619792,1.0,1.3424323499202728,1.3424323499202728
19,2,6,0.0013367660840352378,0.0032629649569382905,0.0021017988522847495,0.09378425041834514,0.1337565710138084,0.09512101650238036,0.1348365018126087,0.09378425041834514,0.09512101650238036,0.0013367660840352378,0.014231770833333332,0.05139293751829121,0.04639322916666666,12.543235677083333,12.557467447916666,0.015559895833333335,0.0466542356105899,0.0395703125,-4.2202294921875,-4.204669596354167,1.0,2.0398020346959433,2.0398020346959433
16,19,6,0.0013305246829986572,0.0047587709716437575,0.002632035811742147,0.09356929063796998,0.13363411386643934,0.09489981532096864,0.1353532333913038,0.09356929063796998,0.09489981532096864,0.0013305246829986572,-0.0031315104166666657,0.08878907381060697,0.06552734374999998,12.543385416666666,12.540253906250001,-0.011482747395833333,0.08251331431032301,0.0592626953125,-4.220395914713542,-4.2318786621093745,1.0,0.7920414408047994,0.7920414408047994
11,26,6,0.001310834884643555,0.003299574495638198,0.0017860007286071777,0.0936950703461965,0.13367355933690991,0.09500590523084003,0.13443188447387058,0.0936950703461965,0.09500590523084003,0.001310834884643555,0.016139322916666667,0.042994113635015326,0.035449218750000004,12.545820312499998,12.561959635416665,0.014381917317708335,0.036043034449098656,0.028743082682291667,-4.2185103352864575,-4.20412841796875,1.0,1.3057994941870372,1.3057994941870372
10,2,6,0.0012511316935221355,0.0028775072927726877,0.0015784629185994466,0.09371657292048136,0.1338518940261008,0.0949677046140035,0.13513235053351966,0.09371657292048136,0.0949677046140035,0.0012511316935221355,0.017962239583333334,0.03506326703181587,0.03025390625,12.542539062500003,12.560501302083333,0.013232421875000002,0.027609373776871185,0.023024088541666664,-4.220623372395834,-4.207390950520833,1.0,1.5891502698262532,1.5891502698262532
16,17,6,0.001210419734319051,0.003720962609613264,0.0020973511536916097,0.09356929063796998,0.13363411386643934,0.09477971037228904,0.13471685823582977,0.09356929063796998,0.09477971037228904,0.001210419734319051,0.015292968750000002,0.06185933553928281,0.048365885416666664,12.543385416666666,12.558678385416668,0.024730224609375,0.05295912981490972,0.041585693359375,-4.220395914713542,-4.195665690104167,1.0,0.8913620809713999,0.8913620809713999
13,30,6,0.0011921509106953938,0.0028052970193036056,0.0017783459027608233,0.09370086630185444,0.13360669910712134,0.09489301721254985,0.13415818347692246,0.09370086630185444,0.09489301721254985,0.0011921509106953938,0.011510416666666667,0.049619767803943116,0.04026041666666667,12.542395833333332,12.553906249999999,0.021788736979166667,0.04728899238088093,0.03721354166666666,-4.220249023437499,-4.198460286458333,1.0,1.0121168692906697,1.0121168692906697
21,27,6,0.001174331506093343,0.0032447883403862467,0.002069299221038819,0.09375702102979024,0.13375712358323436,0.09493135253588358,0.1353818901367029,0.09375702102979024,0.09493135253588358,0.001174331506093343,0.006269531249999999,0.04624959694721112,0.035970052083333336,12.544368489583334,12.550638020833334,0.004508463541666666,0.038832172111661664,0.030823567708333333,-4.219643147786458,-4.215134684244791,1.0,0.5836474746465683,0.5836474746465683
17,8,6,0.0011702613035837809,0.003201442131750797,0.001779698133468628,0.09382361531257628,0.1338001204537044,0.09499387661616009,0.1346036775749631,0.09382361531257628,0.09499387661616009,0.0011702613035837809,0.05887369791666666,0.05700788737506309,0.06637369791666667,12.544205729166668,12.603079427083332,0.03741943359375,0.05119433391125163,0.04436604817708333,-4.2188102213541665,-4.181390787760416,1.0,0.6805589894453684,0.6805589894453684
16,7,6,0.0011673537890116374,0.0018384349279254447,0.0013401357332865399,0.09356929063796998,0.13363411386643934,0.09473664442698161,0.13445177467560868,0.09356929063796998,0.09473664442698161,0.0011673537890116374,0.024830729166666666,0.027867940031004,0.030690104166666662,12.543385416666666,12.568216145833333,0.015146484375,0.021396709870700054,0.020817057291666666,-4.220395914713542,-4.205249430338541,1.0,1.2482935686906178,1.2482935686906178
26,28,6,0.0011480959256490071,0.00702976523890374,0.0030677596728007,0.09402392824490863,0.13413379250026194,0.09517202417055766,0.13697030557831083,0.09402392824490863,0.09517202417055766,0.0011480959256490071,-0.005794270833333334,0.054625575903160146,0.038059895833333336,12.5445703125,12.538776041666667,-0.005055338541666667,0.04900120807101624,0.03310221354166667,-4.218989664713542,-4.224045003255209,1.0,0.8140749831994375,0.8140749831994375
12,3,6,0.001138129234313965,0.003229180147485785,0.001926367282867432,0.09377120455106099,0.13379918001250932,0.09490933378537497,0.13476221835641114,0.09377120455106099,0.09490933378537497,0.001138129234313965,0.014355468750000001,0.0694448491247556,0.05133463541666667,12.543587239583333,12.557942708333334,0.0062939453125,0.06049165575448309,0.04133951822916667,-4.21916259765625,-4.21286865234375,1.0,0.8098544577757517,0.8098544577757517
