q_id,layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p,mean_p_base,std_p_base,mean_p_patch,std_p_patch,mean_p_base_target,mean_p_patch_target,mean_delta_p_target,mean_delta_logit,std_delta_logit,mean_abs_delta_logit,mean_logit_base,mean_logit_patch,mean_delta_logprob,std_delta_logprob,mean_abs_delta_logprob,mean_logprob_base,mean_logprob_patch,any_nonzero,mean_act_norm,clean_mean_norm
Q18,13,27,25,0.02830963134765625,0.029298477129044542,0.02934478759765625,0.12313873291015626,0.11605763352098208,0.1514483642578125,0.11956801526702088,0.12313873291015626,0.1514483642578125,0.02830963134765625,0.438125,0.2979251164302869,0.438125,16.1734375,16.6115625,0.3480859375,0.3298443698922408,0.3503515625,-2.70505859375,-2.35697265625,True,2.7279040813446045,2.7279040813446045
Q18,15,17,25,0.023681488037109375,0.020536493740205254,0.023683929443359376,0.12306015014648437,0.11600034516150613,0.14674163818359376,0.13282672175739343,0.12306015014648437,0.14674163818359376,0.023681488037109375,0.2196875,0.1421672375672398,0.2259375,16.17625,16.3959375,0.20083984375,0.09645854601139711,0.20083984375,-2.7053125,-2.50447265625,True,1.6919496059417725,1.6919496059417725
Q18,15,16,25,0.008434295654296875,0.00772170413683881,0.008528289794921875,0.12306015014648437,0.11600034516150613,0.13149444580078126,0.12082219316241077,0.12306015014648437,0.13149444580078126,0.008434295654296875,0.0978125,0.06921434099953563,0.1003125,16.17625,16.2740625,0.0862890625,0.07371274880193723,0.0892578125,-2.7053125,-2.6190234375,True,1.7540377378463745,1.7540377378463745
Q18,26,28,25,0.008212432861328126,0.027428323404940898,0.011633148193359375,0.1239813232421875,0.11682899752848189,0.13219375610351564,0.13625465485150984,0.1239813232421875,0.13219375610351564,0.008212432861328126,0.01125,0.10465437908898031,0.06,16.1778125,16.1890625,0.00853515625,0.08759467534295393,0.04986328125,-2.703125,-2.69458984375,True,0.6573075652122498,0.6573075652122498
Q18,16,29,25,0.0081610107421875,0.013994587507120475,0.0117352294921875,0.12244918823242187,0.11513008176967873,0.13061019897460938,0.11392297155683159,0.12244918823242187,0.13061019897460938,0.0081610107421875,0.16625,0.10557043709059842,0.1775,16.1728125,16.3390625,0.09623046875,0.07961828719128186,0.10486328125,-2.70673828125,-2.6105078125,True,1.4725229740142822,1.4725229740142822
Q18,13,31,25,0.007796478271484375,0.00580938572060528,0.007796478271484375,0.12313873291015626,0.11605763352098208,0.13093521118164062,0.11880263203262749,0.12313873291015626,0.13093521118164062,0.007796478271484375,0.1021875,0.08308974816425911,0.1053125,16.1734375,16.275625,0.09279296875,0.07728830280507058,0.09279296875,-2.70505859375,-2.612265625,True,1.5071245431900024,1.5071245431900024
Q18,24,11,25,0.007128143310546875,0.019572266842288473,0.008320770263671874,0.12406539916992188,0.11690139656732863,0.13119354248046874,0.13179465417511532,0.12406539916992188,0.13119354248046874,0.007128143310546875,0.038125,0.08041396800307768,0.0475,16.178125,16.21625,0.0236328125,0.05800238689904346,0.0373828125,-2.70205078125,-2.67841796875,True,0.7719476222991943,0.7719476222991943
Q18,22,9,25,0.005812225341796875,0.01104224560049476,0.008679962158203125,0.12303863525390625,0.11581732167359482,0.12885086059570314,0.12196585758585538,0.12303863525390625,0.12885086059570314,0.005812225341796875,0.0203125,0.1069371164516792,0.0896875,16.17375,16.1940625,0.0219921875,0.08598104365593652,0.0726953125,-2.70623046875,-2.68423828125,True,1.8672317266464233,1.8672317266464233
Q18,13,23,25,0.005756378173828125,0.006445007425370814,0.005873565673828125,0.12313873291015626,0.11605763352098208,0.12889511108398438,0.11811704182789298,0.12313873291015626,0.12889511108398438,0.005756378173828125,0.0903125,0.056210055261492135,0.0903125,16.1734375,16.26375,0.064296875,0.05094376039941312,0.06484375,-2.70505859375,-2.64076171875,True,0.9478980898857117,0.9478980898857117
Q18,15,2,25,0.005683441162109375,0.007291530167914197,0.005847625732421875,0.12306015014648437,0.11600034516150613,0.12874359130859375,0.12106092799815564,0.12306015014648437,0.12874359130859375,0.005683441162109375,0.088125,0.05526569347253321,0.090625,16.17625,16.264375,0.0395703125,0.031425435293698595,0.0409765625,-2.7053125,-2.6657421875,True,1.1623698472976685,1.1623698472976685
Q18,13,6,25,0.00532012939453125,0.007282897327987299,0.00561187744140625,0.12313873291015626,0.11605763352098208,0.1284588623046875,0.12053390829525266,0.12313873291015626,0.1284588623046875,0.00532012939453125,0.053125,0.06163463413536256,0.060625,16.1734375,16.2265625,0.0505859375,0.06233498724444904,0.0569921875,-2.70505859375,-2.65447265625,True,1.5068362951278687,1.5068362951278687
Q18,11,29,25,0.005319061279296875,0.009822858044069988,0.006556243896484375,0.12329360961914063,0.11690555130928665,0.1286126708984375,0.11947791602224783,0.12329360961914063,0.1286126708984375,0.005319061279296875,0.0384375,0.06969941041716206,0.0621875,16.17625,16.2146875,0.04068359375,0.0595406432262936,0.05134765625,-2.70484375,-2.66416015625,True,1.1487294435501099,1.1487294435501099
Q18,23,23,25,0.005142974853515625,0.014795330013650923,0.007009735107421875,0.12347579956054687,0.11627067329942266,0.1286187744140625,0.12182062922828861,0.12347579956054687,0.1286187744140625,0.005142974853515625,0.019375,0.08855722902451273,0.061875,16.175,16.194375,0.02734375,0.09039656689631871,0.055078125,-2.70412109375,-2.67677734375,True,1.1656615734100342,1.1656615734100342
Q18,27,2,25,0.005077972412109375,0.01972645449372741,0.012785797119140624,0.12347854614257812,0.11656809721595851,0.1285565185546875,0.12614699979590396,0.12347854614257812,0.1285565185546875,0.005077972412109375,0.0046875,0.18367185838472916,0.1453125,16.1759375,16.180625,-0.00427734375,0.1520878309168366,0.11658203125,-2.70451171875,-2.7087890625,True,2.1954379081726074,2.1954379081726074
Q18,14,29,25,0.004967498779296875,0.005847128547424075,0.005753631591796875,0.1234661865234375,0.11649133372756655,0.12843368530273438,0.1195327641642103,0.1234661865234375,0.12843368530273438,0.004967498779296875,0.0821875,0.06818374760527614,0.0859375,16.175,16.2571875,0.068828125,0.06676781165972212,0.074296875,-2.7051171875,-2.6362890625,True,2.28437876701355,2.28437876701355
Q18,30,13,25,0.00493194580078125,0.02016566120718351,0.00983856201171875,0.12339157104492188,0.11629846801088645,0.12832351684570312,0.1311293295370258,0.12339157104492188,0.12832351684570312,0.00493194580078125,0.004375,0.11280514172678477,0.076875,16.174375,16.17875,-0.02197265625,0.08531155204944954,0.06654296875,-2.7046484375,-2.72662109375,True,1.9970918893814087,1.9970918893814087
Q18,30,25,25,0.004842681884765625,0.010916076220605106,0.007226409912109375,0.12339157104492188,0.11629846801088645,0.1282342529296875,0.12513593776744816,0.12339157104492188,0.1282342529296875,0.004842681884765625,0.0146875,0.08047466604466277,0.0646875,16.174375,16.1890625,0.004765625,0.07331601487471462,0.060390625,-2.7046484375,-2.6998828125,True,2.0272929668426514,2.0272929668426514
