layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p
13,27,50,0.028192000463604927,0.053287867456674576,0.028602156788110733
15,17,50,0.02210691012442112,0.05018748342990875,0.022109201177954674
16,29,50,0.01580721326172352,0.036552660167217255,0.015808017924427986
10,5,50,0.010275816544890404,0.02367653325200081,0.010275822132825851
16,30,50,-0.008496936410665512,0.022749008610844612,0.008497804403305054
21,25,50,-0.0066880774684250355,0.021242698654532433,0.006693084258586168
13,31,50,0.005339472088962793,0.01524001732468605,0.005340402014553547
18,30,50,-0.0051396810449659824,0.015723979100584984,0.005162693094462156
15,1,50,0.005141139030456543,0.01250463631004095,0.005141725763678551
10,6,50,-0.004299527499824762,0.010553747415542603,0.0043042623437941074
10,7,50,0.004222065210342407,0.010350670665502548,0.004236937966197729
15,18,50,-0.004049660172313452,0.011003101244568825,0.00405254028737545
31,14,50,0.0033727276604622602,0.010315111838281155,0.003985089249908924
11,30,50,0.0034858309663832188,0.009416839107871056,0.0034904801286756992
15,13,50,-0.0032419515773653984,0.00930050015449524,0.003250191221013665
15,16,50,0.0032288492657244205,0.007210330106317997,0.0032462729141116142
15,19,50,0.003187366761267185,0.009308964014053345,0.0032070172019302845
20,1,50,-0.0029676961712539196,0.01038638036698103,0.003143811132758856
9,27,50,0.0030031062196940184,0.007028261665254831,0.0030031062196940184
31,0,50,-0.002558558015152812,0.009411527775228024,0.0028411364182829857
11,29,50,0.002741636009886861,0.006416667252779007,0.0028064525686204433
16,28,50,0.002744274213910103,0.005970083177089691,0.00274456012994051
13,22,50,0.0025100267957895994,0.006128915119916201,0.0026712166145443916
14,11,50,0.002631857292726636,0.006441089790314436,0.002631857292726636
13,6,50,0.0020841299556195736,0.0065506515093147755,0.002460106508806348
15,6,50,-0.0022250318434089422,0.006009620148688555,0.0022250318434089422
9,25,50,0.0016500485362485051,0.005417090840637684,0.0020398246124386787
23,23,50,-0.0017179274000227451,0.007585854269564152,0.0019810341764241457
15,2,50,0.0019583881366997957,0.006230853032320738,0.001960007008165121
12,0,50,0.0005802583764307201,0.0047736624255776405,0.0019097900949418545
15,5,50,0.0018474042881280184,0.0046374062076210976,0.0018474042881280184
26,28,50,-0.0016964375972747803,0.011653722263872623,0.0017493569757789373
15,28,50,0.0017401992809027433,0.004476162604987621,0.0017427981365472078
12,12,50,-0.0016904484946280718,0.00461942795664072,0.001741825370118022
14,29,50,0.0017289912793785334,0.00453147990629077,0.0017296778969466686
13,28,50,-0.0016539872158318758,0.004746558144688606,0.0017044460400938988
13,25,50,-0.0016836917493492365,0.004127367865294218,0.001698812237009406
31,30,50,-0.0016023397911339998,0.008270845748484135,0.001690747682005167
31,31,50,0.0016503083752468228,0.004807821474969387,0.0016561138909310102
10,12,50,0.0015849006595090032,0.0036285854876041412,0.0016367423813790083
31,1,50,-0.0015382147394120693,0.005142041016370058,0.0015917206183075905
19,19,50,0.0015483963070437312,0.004066424444317818,0.0015775978099554777
17,8,50,0.001568587962538004,0.0038788849487900734,0.0015690672444179654
16,3,50,-0.0012945496710017323,0.004464176017791033,0.001495183678343892
20,21,50,-0.0014857256319373846,0.005725507624447346,0.0014930403558537364
21,2,50,0.0014506960287690163,0.0037830343935638666,0.0014768576947972178
15,7,50,0.0014712250558659434,0.0036443190183490515,0.0014712250558659434
12,15,50,0.0010342777241021395,0.0035901509691029787,0.0014462459366768599
15,14,50,-0.0013532006414607167,0.0056052496656775475,0.001433798111975193
30,25,50,-0.00035658240085467696,0.006335507612675428,0.001432803925126791
26,15,50,0.0013907802058383822,0.006588707212358713,0.0014304721262305975
31,2,50,0.0011852085590362549,0.0037614863831549883,0.001418350962921977
12,23,50,0.001364724594168365,0.002951008267700672,0.0013679766561836004
15,8,50,0.0011421358212828636,0.0033817009534686804,0.001351710525341332
14,28,50,-0.001346708508208394,0.00330364890396595,0.001346708508208394
12,31,50,-0.0013043605722486973,0.004756983835250139,0.00133343820925802
13,19,50,-0.0009868561755865812,0.004471891559660435,0.0013144910335540771
31,11,50,0.001286892918869853,0.005968363024294376,0.001302235177718103
31,5,50,-0.0009269153815694153,0.0055841063149273396,0.0013010037364438176
21,19,50,0.0012855827808380127,0.003248815890401602,0.001290596672333777
27,6,50,-0.0010488879634067416,0.005409406963735819,0.0012478887801989913
13,29,50,0.0012412631185725331,0.003183790948241949,0.0012421214487403631
11,28,50,0.0011565041495487094,0.0034446807112544775,0.0012320876121520996
10,10,50,-0.000930006499402225,0.0033421677071601152,0.0012074160622432828
