q_id,shot,n_trials_used,n_boot,n_perm,perm_stat,pt_abc_mean,pt_abc_median,pt_abd_mean,pt_abd_median,pt_abc_p_gt1,pt_abd_p_gt1,delta_mean,delta_median,delta_p_gt0,perm_p_one,pt_abc_ci2_low,pt_abc_ci2_high,pt_abd_ci2_low,pt_abd_ci2_high,delta_ci2_low,delta_ci2_high,pt_abc_ci1_low,pt_abd_ci1_low,delta_ci1_low
1,1,60,10000,5000,mean,0.9050730333732494,0.9009203624605095,1.4993896545688286,1.4826482732732735,0.037,0.9996,0.5943166211955793,0.5813359068365743,0.9999,0.0001999600079984003,0.8229966235363054,1.0110284139100933,1.1739433968640174,1.91832476737257,0.24575992344730704,1.026634415198903,0.8339094650205763,1.216529307765538,0.29498118209896473
10,1,60,10000,5000,mean,0.9654766691961115,0.9568275166191833,2.3654770163115146,2.3212795193813314,0.2321,1.0,1.400000347115403,1.3577962778331671,1.0,0.0001999600079984003,0.8851535115412281,1.0884036293854598,1.6751990049751246,3.3313919134727055,0.6716500948153706,2.383138757429012,0.8944432821943281,1.7550878442545113,0.766716254437035
11,1,60,10000,5000,mean,0.7296676376315615,0.7247631179047108,1.3313868141343639,1.3101450519045537,0.0001,0.9525,0.6017191765028024,0.5821051406130421,0.9994,0.0001999600079984003,0.658503682833766,0.8309124155502119,0.9572271386430676,1.8251127687361863,0.21649932851070677,1.0974520042941092,0.667189835575486,1.003484217171717,0.2688453348764835
12,1,60,10000,5000,mean,0.8938465807052871,0.8921737213403882,1.4322308872251053,1.40447817940445,0.025,0.9825,0.5383843065198184,0.5144382136598207,0.9949,0.0001999600079984003,0.8006763122029367,0.9998245464852605,1.023391626387397,1.9962983630952387,0.09649430501052962,1.120163594076695,0.8131011976399956,1.073436877737953,0.15495105457743888
13,1,60,10000,5000,mean,0.9884225058818109,0.9851923076923077,1.1826663955939667,1.1625,0.4055,0.848,0.19424388971215586,0.1775885647462188,0.8691,0.0001999600079984003,0.8823998823366557,1.1095680941459345,0.8782118387719672,1.591989255914285,-0.12221242064409996,0.6014283483784205,0.8972222222222226,0.9166635572139303,-0.08152542871727445
14,1,60,10000,5000,mean,0.8924312490989025,0.8864737957814043,1.129483049527961,1.118665549743925,0.0561,0.8396,0.23705180042905868,0.22792916985852896,0.9715,0.0001999600079984003,0.7888888888888891,1.0282580709051292,0.8986290638093795,1.4250351318310146,-0.007749356034480397,0.5324216587658999,0.8010552483101503,0.9308286617481897,0.029059506776302098
15,1,60,10000,5000,mean,0.6870502109632758,0.6753753753753752,1.581591784771252,1.5523214285714286,0.0034,0.9947,0.894541573807976,0.8645182757107455,1.0,0.0001999600079984003,0.5472406462585034,0.8868299822351422,1.1134490486365483,2.2201637391067535,0.4302026291079811,1.5247229864950693,0.5629577218728161,1.169639072126146,0.4896736656724383
16,1,60,10000,5000,mean,0.9144881618158124,0.9124792354235425,1.3237392309960607,1.3104974930133158,0.0007,0.9954,0.4092510691802484,0.3960531738380171,0.9998,0.0001999600079984003,0.8725162125300095,0.9652541642406183,1.065005357251606,1.6580990652562353,0.14701301951516557,0.7397430263931104,0.8783386644219976,1.1027512360426728,0.18496601616217812
17,1,60,10000,5000,mean,0.7323602006135856,0.7203018983437826,0.7864663788525866,0.7732733585858587,0.0024,0.0125,0.054106178239000886,0.05274711995543835,0.7069,0.0001999600079984003,0.625937336596888,0.9045937310720776,0.6750000000000002,0.9668422364672359,-0.1547632714217841,0.2671647487321627,0.6361473027375202,0.6880635891731555,-0.11783602701576953
18,1,60,10000,5000,mean,0.9813975332553764,0.9704859440456256,0.8137185722115617,0.7928005883181848,0.315,0.0874,-0.16767896104381486,-0.18039649936128538,0.1256,1.0,0.9,1.1163725386481607,0.6261980452674898,1.1104371890547267,-0.4337844545242475,0.1491496102233916,0.9091678097850939,0.6468072663929325,-0.3915127269974589
