layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p,mean_p_base,std_p_base,mean_p_patch,std_p_patch,mean_p_base_target,mean_p_patch_target,mean_delta_p_target,mean_delta_logit,std_delta_logit,mean_abs_delta_logit,mean_logit_base,mean_logit_patch,mean_delta_logprob,std_delta_logprob,mean_abs_delta_logprob,mean_logprob_base,mean_logprob_patch,any_nonzero,mean_act_norm,clean_mean_norm
13,27,25,0.040343213081359866,0.06339821567147931,0.040343213081359866,0.007979826927185059,0.01743489560514336,0.04832304000854492,0.07706039652981313,0.007979826927185059,0.04832304000854492,0.040343213081359866,2.53625,0.9147089861244805,2.53625,7.55265625,10.08890625,2.203125,0.8392490172552287,2.203125,-6.49125,-4.288125,True,2.7543935775756836,2.7543935775756836
16,29,25,0.0068319463729858395,0.01779892889327374,0.0068319463729858395,0.007979826927185059,0.01743489560514336,0.014811773300170899,0.03499747149434822,0.007979826927185059,0.014811773300170899,0.0068319463729858395,0.595625,0.26019993064228514,0.595625,7.55265625,8.14828125,0.4596875,0.20476939559195304,0.4596875,-6.49125,-6.0315625,True,1.4024879932403564,1.4024879932403564
15,17,25,0.006115398406982422,0.018563059704566755,0.0061253166198730466,0.007979826927185059,0.01743489560514336,0.014095225334167481,0.03565536041380843,0.007979826927185059,0.014095225334167481,0.006115398406982422,0.46046875,0.3046120098789606,0.48046875,7.55265625,8.013125,0.3512890625,0.25853289502982013,0.3541015625,-6.49125,-6.1399609375,True,1.2036899328231812,1.2036899328231812
10,5,25,0.005969767570495606,0.016332603584909292,0.005969767570495606,0.007979826927185059,0.01743489560514336,0.013949594497680663,0.032471503189066074,0.007979826927185059,0.013949594497680663,0.005969767570495606,0.52546875,0.3215318255534746,0.52546875,7.55265625,8.078125,0.4459375,0.2546849357616313,0.4459375,-6.49125,-6.0453125,True,2.0850613117218018,2.0850613117218018
11,29,25,0.003978123664855957,0.01257075723180748,0.003979115486145019,0.007979826927185059,0.01743489560514336,0.011957950592041015,0.02800736444842934,0.007979826927185059,0.011957950592041015,0.003978123664855957,0.2190625,0.3054556023385396,0.2228125,7.55265625,7.77171875,0.19296875,0.24771107930125721,0.19359375,-6.49125,-6.29828125,True,0.6988193392753601,0.6988193392753601
9,27,25,0.00285400390625,0.0082581580793622,0.00286376953125,0.007979826927185059,0.01743489560514336,0.010833830833435058,0.02478143225424201,0.007979826927185059,0.010833830833435058,0.00285400390625,0.2521875,0.2108682756782063,0.2565625,7.55265625,7.80484375,0.23609375,0.17072173454054188,0.23640625,-6.49125,-6.25515625,True,2.1499500274658203,2.1499500274658203
13,22,25,0.002703399658203125,0.005083947938323992,0.002703399658203125,0.007979826927185059,0.01743489560514336,0.010683226585388183,0.022063654074590832,0.007979826927185059,0.010683226585388183,0.002703399658203125,0.2746875,0.18823008900345875,0.2746875,7.55265625,7.82734375,0.268203125,0.17567420351676566,0.268203125,-6.49125,-6.223046875,True,1.759037971496582,1.759037971496582
15,1,25,0.002670001983642578,0.006377114579176987,0.002670001983642578,0.007979826927185059,0.01743489560514336,0.010649828910827637,0.02371370571577477,0.007979826927185059,0.010649828910827637,0.002670001983642578,0.30234375,0.11014793851622916,0.30234375,7.55265625,7.855,0.24359375,0.1020100116678199,0.24359375,-6.49125,-6.24765625,True,1.0586649179458618,1.0586649179458618
13,6,25,0.002457456588745117,0.005929943147510416,0.002457456588745117,0.007979826927185059,0.01743489560514336,0.010437283515930176,0.022456515676051808,0.007979826927185059,0.010437283515930176,0.002457456588745117,0.23015625,0.1598908624363037,0.23078125,7.55265625,7.7828125,0.220078125,0.14435030903586593,0.220078125,-6.49125,-6.271171875,True,1.6681958436965942,1.6681958436965942
14,11,25,0.0023488759994506835,0.006161265551251728,0.0023488759994506835,0.007979826927185059,0.01743489560514336,0.010328702926635742,0.023360317600149078,0.007979826927185059,0.010328702926635742,0.0023488759994506835,0.2146875,0.10761689683490692,0.2146875,7.55265625,7.76734375,0.160703125,0.100525839145652,0.160703125,-6.49125,-6.330546875,True,1.2814618349075317,1.2814618349075317
