layer,mean_delta_p
0,0.0007078944076641847
1,0.002395744121553207
2,-0.0009313056777341444
3,0.00014765970251318095
4,0.014030081491030728
5,0.03956357480458337
6,0.0481556136150175
7,0.0779936901192923
8,0.12685726243391401
9,0.11731182027549948
10,0.13181530462556112
11,0.1678633984746557
12,0.19883470490363833
13,0.24299636924974038
14,0.16136069015949034
15,0.08610323437285843
16,0.048845358153484994
17,0.0286752879719279
18,0.01823964160059404
19,0.009295868568660808
20,0.007389988758150139
21,0.0013730432880402078
22,0.0012899616955110104
23,0.0006759991112267016
24,0.000577362999174511
25,0.00036924352123605784
26,0.0003143763283151202
27,0.00010692919851862826
28,3.5975905520899685e-05
29,-0.00014872494612063746
30,-0.0004938592572671041
31,-0.0006643552757850558
