layer,old_acc_base,old_acc_with,old_delta_acc,old_mean_delta_logprob,old_mean_delta_p,new_acc_base,new_acc_with,new_delta_acc,new_mean_delta_logprob,new_mean_delta_p,diff_acc_with,diff_delta_acc,diff_mean_delta_logprob,diff_mean_delta_p
0,0.0,0.02,0.02,3.1053992652893068,0.0037096081164858675,0.0,0.0,0.0,-1.3284893226623535,0.0007078944076641847,-0.02,-0.02,-4.43388858795166,-0.003001713708821683
1,0.0,0.02,0.02,3.074326229095459,0.0025969428526465776,0.0,0.02,0.02,-0.5493446159362793,0.002395744121553207,0.0,0.0,-3.6236708450317385,-0.0002011987310933704
2,0.0,0.0,0.0,1.273684310913086,0.00015799659476464,0.0,0.0,0.0,-2.4330836486816407,-0.0009313056777341444,0.0,0.0,-3.7067679595947265,-0.0010893022724987845
3,0.0,0.0,0.0,0.8560527420043945,9.080640990312361e-05,0.0,0.0,0.0,-1.3495899200439454,0.00014765970251318095,0.0,0.0,-2.20564266204834,5.685329261005734e-05
4,0.0,0.0,0.0,1.809235725402832,0.00020583832482515163,0.0,0.02,0.02,1.2580211067199707,0.014030081491030728,0.02,0.02,-0.5512146186828613,0.013824243166205577
5,0.0,0.0,0.0,1.9745887756347655,0.00026093408077116465,0.0,0.02,0.02,2.703527584075928,0.03956357480458337,0.02,0.02,0.7289388084411623,0.039302640723812204
6,0.0,0.0,0.0,2.3455672073364258,0.0003730581365027774,0.0,0.12,0.12,2.928160629272461,0.0481556136150175,0.12,0.12,0.5825934219360351,0.047782555478514725
7,0.0,0.0,0.0,1.9252466201782226,0.00048791890071100854,0.0,0.18,0.18,3.6132926177978515,0.0779936901192923,0.18,0.18,1.688045997619629,0.07750577121858129
8,0.0,0.0,0.0,3.357649078369141,0.0022234316724967585,0.0,0.28,0.28,4.506726245880127,0.12685726243391401,0.28,0.28,1.1490771675109865,0.12463383076141725
9,0.0,0.0,0.0,3.7371706771850586,0.004169028507087091,0.0,0.34,0.34,4.40278730392456,0.11731182027549948,0.34,0.34,0.6656166267395016,0.1131427917684124
10,0.0,0.0,0.0,4.198279533386231,0.006568086676995222,0.0,0.4,0.4,4.475568351745605,0.13181530462556112,0.4,0.4,0.27728881835937447,0.12524721794856591
11,0.0,0.0,0.0,4.064351501464844,0.003907310457111066,0.0,0.34,0.34,4.681123294830322,0.1678633984746557,0.34,0.34,0.6167717933654782,0.16395608801754463
