q_id,layer,mean_delta_p
Q10,0,2.9700589296055567e-06
Q10,1,2.9660514120877223e-06
Q10,2,2.9653868668688686e-06
Q10,3,2.963938539615185e-06
Q10,4,2.9635766773949968e-06
Q10,5,2.9553878676580326e-06
Q10,6,2.9609432906241295e-06
Q10,7,2.955730337852458e-06
Q10,8,2.9691851284852077e-06
Q10,9,2.961103206473581e-06
Q10,10,2.9639697896399752e-06
Q10,11,2.958960833367996e-06
Q10,12,2.964300176735435e-06
Q10,13,2.967899954633424e-06
Q10,14,2.9696469006168515e-06
Q10,15,2.970095372063497e-06
Q10,16,2.9719618654766578e-06
Q10,17,2.9706855697142485e-06
Q10,18,2.9669200117510287e-06
Q10,19,2.975851856987788e-06
Q10,20,2.990244782949958e-06
Q10,21,2.973387330449384e-06
Q10,22,2.9719169448583217e-06
Q10,23,2.979424606976977e-06
Q10,24,2.968253339723503e-06
Q10,25,2.9353518841546134e-06
Q10,26,2.9580330601675088e-06
Q10,27,2.9645952974632903e-06
Q10,28,2.9882195666175447e-06
Q10,29,3.0299184740911754e-06
Q10,30,3.0396516264374895e-06
Q10,31,3.3957123255135003e-06
Q11,0,0.009474949212858519
Q11,1,0.009818531400565007
Q11,2,0.007579857743226057
Q11,3,0.0009236218077830927
Q11,4,0.001294144569023956
Q11,5,0.0010675022689838442
Q11,6,0.0006772724459779056
Q11,7,0.0006482056410141013
Q11,8,0.0004675286956671698
Q11,9,0.0007939389971807031
Q11,10,0.0010709632571206384
Q11,11,0.0010840998993853646
Q11,12,0.0017163314647450534
Q11,13,0.0016343152558010842
Q11,14,0.002128531660059707
Q11,15,0.0006313072825878407
Q11,16,0.000871556485039946
Q11,17,0.0005359722330149452
Q11,18,0.00045327271282531
Q11,19,0.0006534928365408633
Q11,20,0.0005685100171513113
Q11,21,0.0004344862908374125
Q11,22,0.00035518719424089797
Q11,23,0.00043982536277781037
Q11,24,0.00036933790521743504
Q11,25,0.000310171375781465
Q11,26,0.0004952429309241779
Q11,27,0.0005346121341199251
Q11,28,0.0006390598242296619
Q11,29,0.0006499129772373635
Q11,30,0.00037113774852514324
Q11,31,0.00010835056302767043
Q12,0,4.312987879089292e-05
Q12,1,0.0001513919788204987
Q12,2,1.4499381246864119e-05
Q12,3,1.1198498633078202e-05
Q12,4,7.861431071063407e-06
Q12,5,4.452397836161026e-06
Q12,6,7.005338377581438e-06
Q12,7,1.9765914845493173e-06
Q12,8,1.040165815041405e-05
Q12,9,7.316019223821968e-06
Q12,10,1.0095473184605908e-05
Q12,11,4.820659445528009e-06
Q12,12,3.2193919541612106e-06
Q12,13,1.973291061929672e-06
Q12,14,7.199869726193242e-07
Q12,15,1.187479505873057e-06
Q12,16,2.553084242293835e-06
Q12,17,1.7598947958674671e-06
Q12,18,2.2301194208296236e-06
Q12,19,4.493758645907065e-06
Q12,20,6.2697651863174995e-06
Q12,21,4.413757959440545e-06
Q12,22,2.1263229346857315e-06
Q12,23,1.8046384572301123e-06
Q12,24,2.9632146147662295e-06
Q12,25,2.1416371744464867e-06
Q12,26,4.6860381645785765e-06
Q12,27,1.7690561378458369e-06
Q12,28,1.1342726010354908e-06
Q12,29,6.452255887268166e-07
Q12,30,-3.0163424862905687e-06
Q12,31,3.0264050835171477e-07
Q13,0,0.012104249060754455
Q13,1,0.020483535261988664
Q13,2,0.024374283694593258
Q13,3,0.0019509807831821035
Q13,4,0.0005794816710806572
Q13,5,0.0007822356129975105
Q13,6,0.0004773735190019579
Q13,7,0.0003383057643293341
Q13,8,0.000292381485040778
Q13,9,0.0006789300970365275
Q13,10,0.0013951230333952935
Q13,11,0.0018226356528259658
Q13,12,0.002411798085540795
Q13,13,0.0030895315198324626
Q13,14,0.0030405690372515438
Q13,15,0.0011631190314415106
Q13,16,0.00086676780633411
Q13,17,0.0002899994439405873
Q13,18,0.00023597079406442845
Q13,19,0.00022575973508537573
Q13,20,0.00019082413106161767
Q13,21,0.0001238280221991772
Q13,22,7.087084860700088e-05
Q13,23,6.6785402422056e-05
Q13,24,6.283257796440012e-05
Q13,25,5.040684947005047e-05
Q13,26,5.59266745426612e-05
Q13,27,5.563664948965652e-05
Q13,28,5.332169882819926e-05
Q13,29,4.653271580309592e-05
Q13,30,1.731882903470705e-05
Q13,31,8.921728354494008e-06
Q14,0,0.009617304489172512
Q14,1,0.010903552588522415
Q14,10,0.00020235835245102862
Q14,11,5.3047898315981005e-05
Q14,12,8.365990885749852e-05
Q14,13,0.00012277509917794306
Q14,14,4.70524804654815e-05
Q14,15,1.5952542460127005e-05
