q_id,best_layer_by_mean_delta_p,best_mean_delta_p,acc_with_at_best_mean_delta_p,delta_acc_at_best_mean_delta_p,mean_delta_logprob_at_best_mean_delta_p
Q1,14,0.1810285423489404,0.6,0.6,3.9377305030822756
Q3,13,0.000905798272742686,0.0,0.0,1.4381837844848633
Q4,13,0.1557589100470068,0.2,0.2,3.4367831230163572
Q5,13,0.19426307945832377,0.5,0.5,4.047471332550049
Q6,13,0.09629299151747546,0.3,0.3,3.3614360809326174
Q7,13,0.14857682150450274,0.2,0.2,3.9444839477539064
Q8,14,0.16292444205209905,0.5,0.5,3.873529624938965
Q9,13,0.22915690605368583,0.3,0.3,4.3263694763183596
Q10,31,-0.0003039216173604586,0.0,0.0,-4.63360595703125
Q11,14,0.15319196056843792,0.4,0.4,4.01795711517334
Q12,10,0.010675457829620427,0.0,0.0,2.7574413299560545
Q13,14,0.29329294908902737,0.6,0.5,2.7019566535949706
Q14,9,0.03886417196345064,0.2,0.2,2.6585911750793456
Q16,13,0.08686171678127722,0.3,0.19999999999999998,3.675153923034668
Q17,13,0.21594523979510996,0.5,0.5,4.053146934509277
Q18,2,0.12883557712011678,0.3,0.3,4.544788932800293
