q_id,layer,acc_base,acc_with,delta_acc,mean_delta_logprob,mean_delta_p
Q1,0,0.0,0.2,0.2,2.5460572242736816,0.039509836917568465
Q1,1,0.0,0.2,0.2,2.4694952011108398,0.0367492294011754
Q1,2,0.0,0.2,0.2,2.3319287300109863,0.02877657991630258
Q1,3,0.0,0.2,0.2,2.5614250183105467,0.04566858006437542
Q1,4,0.0,0.2,0.2,2.3844024658203127,0.03158322245144518
Q1,5,0.0,0.4,0.4,2.6544517517089843,0.04462108703592094
Q1,6,0.0,0.4,0.4,2.6530911445617678,0.05303975153510691
Q1,7,0.0,0.4,0.4,2.797211742401123,0.07191895537107484
Q1,8,0.0,0.3,0.3,2.824270725250244,0.05992478924599709
Q1,9,0.0,0.2,0.2,2.8600414276123045,0.06018762016465189
Q1,10,0.0,0.2,0.2,2.6793426513671874,0.046306052997533695
Q1,11,0.0,0.2,0.2,2.902086925506592,0.05634019026329042
Q1,12,0.0,0.4,0.4,3.5022253036499023,0.10979604046588065
Q1,13,0.0,0.6,0.6,3.6574246406555178,0.13595782784541371
Q1,14,0.0,0.6,0.6,3.9377305030822756,0.1810285423489404
Q1,15,0.0,0.6,0.6,4.063893604278564,0.17584607615863207
Q1,16,0.0,0.4,0.4,3.6448323249816896,0.11518205027823569
Q1,17,0.0,0.0,0.0,2.8643939971923826,0.050312808582384606
Q1,18,0.0,0.0,0.0,2.565546417236328,0.0383309829121572
Q1,19,0.0,0.0,0.0,2.0731043815612793,0.022490291933354455
Q1,20,0.0,0.0,0.0,2.021053409576416,0.020387568006117362
Q1,21,0.0,0.0,0.0,1.4394424438476563,0.010030976521375124
Q1,22,0.0,0.0,0.0,0.9360370635986328,0.004232551610039081
Q1,23,0.0,0.0,0.0,0.7582307815551758,0.0029908270531450397
Q1,24,0.0,0.0,0.0,0.7011384963989258,0.0028220460706506858
Q1,25,0.0,0.0,0.0,0.6210346221923828,0.00246891619899543
Q1,26,0.0,0.0,0.0,0.5550679206848145,0.0022249970963457598
Q1,27,0.0,0.0,0.0,0.4934978485107422,0.001964337844401598
Q1,28,0.0,0.0,0.0,0.4109824180603027,0.001544421371363569
Q1,29,0.0,0.0,0.0,0.2741581916809082,0.0010420070335385389
Q1,30,0.0,0.0,0.0,0.18013420104980468,0.0007067036785883829
Q1,31,0.0,0.0,0.0,-0.04525747299194336,-0.0002437101400573738
Q3,0,0.0,0.0,0.0,0.14403314590454103,9.638635510782479e-05
