q_id,layer,baseline_layer,super_layer,acc_base_baseline,acc_base_super,diff_acc_base,acc_with_baseline,acc_with_super,diff_acc_with,delta_acc_baseline,delta_acc_super,diff_delta_acc,mean_delta_logprob_baseline,mean_delta_logprob_super,diff_mean_delta_logprob,mean_delta_p_baseline,mean_delta_p_super,diff_mean_delta_p,mean_delta_logit_baseline,mean_delta_logit_super,diff_mean_delta_logit
Q1,0,0,0,0.0,0.0,0.0,0.2,0.0,-0.2,0.2,0.0,-0.2,2.5460572242736816,-0.7484395027160644,-3.2944967269897463,0.039509836917568465,-0.0015077930060215295,-0.041017629923589996,2.565234375,-0.228125,-2.793359375
Q1,1,1,1,0.0,0.0,0.0,0.2,0.0,-0.2,0.2,0.0,-0.2,2.4694952011108398,-0.46925153732299807,-2.9387467384338377,0.0367492294011754,0.0005855950788827613,-0.03616363432229264,2.1359375,0.7359375,-1.4
Q1,2,2,2,0.0,0.0,0.0,0.2,0.0,-0.2,0.2,0.0,-0.2,2.3319287300109863,-1.744713020324707,-4.0766417503356935,0.02877657991630258,-0.0016114345198730007,-0.03038801443617558,1.9953125,0.230078125,-1.7652343750000001
Q1,3,3,3,0.0,0.0,0.0,0.2,0.0,-0.2,0.2,0.0,-0.2,2.5614250183105467,-1.3571670532226563,-3.9185920715332028,0.04566858006437542,0.0006333457778964658,-0.04503523428647896,2.31796875,0.808984375,-1.5089843749999998
Q1,4,4,4,0.0,0.0,0.0,0.2,0.1,-0.1,0.2,0.1,-0.1,2.3844024658203127,0.40782814025878905,-1.9765743255615236,0.03158322245144518,0.011936043899913784,-0.019647178551531398,2.173046875,1.644921875,-0.5281249999999997
Q1,5,5,5,0.0,0.0,0.0,0.4,0.0,-0.4,0.4,0.0,-0.4,2.6544517517089843,1.0350276947021484,-1.619424057006836,0.04462108703592094,0.012432003377762157,-0.03218908365815878,2.5765625,1.70859375,-0.8679687500000002
Q1,6,6,6,0.0,0.0,0.0,0.4,0.0,-0.4,0.4,0.0,-0.4,2.6530911445617678,1.346363639831543,-1.3067275047302247,0.05303975153510691,0.012438530749932397,-0.040601220785174516,2.705078125,1.749609375,-0.9554687500000001
Q1,7,7,7,0.0,0.0,0.0,0.4,0.0,-0.4,0.4,0.0,-0.4,2.797211742401123,1.8235443115234375,-0.9736674308776856,0.07191895537107484,0.016816299206402617,-0.05510265616467223,3.184375,2.30078125,-0.8835937500000002
Q1,8,8,8,0.0,0.0,0.0,0.3,0.0,-0.3,0.3,0.0,-0.3,2.824270725250244,1.8415682792663575,-0.9827024459838867,0.05992478924599709,0.012709757599805017,-0.04721503164619208,3.211328125,2.7640625,-0.447265625
Q1,9,9,9,0.0,0.0,0.0,0.2,0.0,-0.2,0.2,0.0,-0.2,2.8600414276123045,1.923128890991211,-0.9369125366210935,0.06018762016465189,0.013873980294738431,-0.04631363986991346,3.11953125,3.14375,0.024218749999999734
Q1,10,10,10,0.0,0.0,0.0,0.2,0.0,-0.2,0.2,0.0,-0.2,2.6793426513671874,2.1935355186462404,-0.485807132720947,0.046306052997533695,0.01872414022946032,-0.027581912768073376,3.090625,3.446875,0.35624999999999973
Q1,11,11,11,0.0,0.0,0.0,0.2,0.0,-0.2,0.2,0.0,-0.2,2.902086925506592,2.164781188964844,-0.7373057365417481,0.05634019026329042,0.021663801577233244,-0.03467638868605718,3.29921875,3.55625,0.2570312499999998
